sensor_id;sensor_type;location;lat;lon;timestamp;P1;P2;P0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:22:57;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:25:57;1;1;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:26:03;1;1;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:29:03;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:29:09;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:32:10;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:32:17;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:35:17;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:35:25;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:38:24;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:38:30;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:41:31;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:41:37;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:44:37;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:44:44;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:47:44;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:47:50;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:50:51;1;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:50:58;1;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:53:59;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:54:05;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:57:05;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T04:57:11;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:00:12;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:00:18;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:03:18;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:03:24;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:06:27;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:06:34;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:09:35;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:09:41;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:12:41;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:12:47;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:15:47;2;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:15:53;2;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:18:53;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:18:59;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:22:01;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:22:07;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:25:07;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:25:13;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:28:13;1;1;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:28:23;1;1;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:31:24;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:31:30;0;0;0
