date, pm25, pm10, o3, no2, so2
2022/6/10, 37, 15, 37, 9, 
2022/6/11, 39, 14, 39, 7, 
2022/6/12, 38, 15, 29, 8, 
2022/6/13, 39, 14, 32, 10, 
2022/6/14, 37, 18, 41, 15, 
2022/6/15, 49, 22, 39, 14, 
2022/6/16, 59, 14, 33, 11, 
2022/6/17, 38, 18, 44, 10, 
2022/6/18, 47, 33, 46, 7, 
2022/6/19, 80, 18, 23, 8, 
2022/6/20, 44, 14, 27, 10, 
2022/6/21, 37, 17, 38, 13, 
2022/6/22, 47, 16, 44, 15, 
2022/6/23, 42, 18, 41, 11, 
2022/6/24, 48, 15, 34, 9, 
2022/6/25, 39, 15, 43, 8, 
2022/6/26, 39, 13, 40, 11, 
2022/6/27, 35, 13, 33, 10, 
2022/6/28, 33, 12, 19, 9, 
2022/6/29, 29, 18, 34, 11, 
2022/6/30, 47, 14, 18, 10, 
2022/1/3, 13, 6, 24, 13, 
2022/1/4, 11, 5, 23, 8, 
2022/1/5, 13, 8, 19, 9, 
2022/1/6, 18, 12, 14, 15, 
2022/1/7, 23, 10, 16, 16, 
2022/1/8, 26, 6, 22, 7, 
2022/1/9, 12, 11, 17, 12, 
2022/1/10, 29, 39, 13, 15, 
2022/1/11, 89, 25, 18, 15, 
2022/1/12, 60, 14, 16, 12, 
2022/1/13, 31, 14, 12, 12, 
2022/1/14, 34, 19, 23, 12, 
2022/1/15, 51, 17, 16, 11, 
2022/1/16, 42, 8, 22, 8, 
2022/1/17, 17, 13, 20, 13, 
2022/1/18, 32, 19, 14, 18, 
2022/1/19, 43, 7, 25, 6, 
2022/1/20, 17, 10, 22, 7, 
2022/1/21, 21, 10, 22, 9, 
2022/1/22, 26, 6, 23, 7, 
2022/1/23, 14, 16, 12, 21, 
2022/1/24, 50, 14, 16, 10, 
2022/1/25, 35, 16, 14, 10, 
2022/1/26, 39, 16, 19, 9, 
2022/1/27, 43, 14, 28, 6, 
2022/1/28, 31, 9, 20, 6, 
2022/1/31, 41, 11, 26, 9, 
2022/2/1, 27, 10, 28, 4, 
2022/2/2, 21, 16, 19, 19, 
2022/2/3, 38, 9, 23, 11, 
2022/2/4, 18, 6, 28, 5, 
2022/2/5, 11, 4, 27, 3, 
2022/2/6, 9, 7, 29, 5, 
2022/2/7, 15, 9, 21, 8, 
2022/2/8, 21, 9, 20, 11, 
2022/2/9, 23, 14, 19, 13, 
2022/2/10, 39, 7, 27, 9, 
2022/2/11, 15, 14, 20, 15, 
2022/2/12, 38, 17, 22, 9, 
2022/2/13, 45, 22, 21, 10, 
2022/2/14, 53, 27, 19, 16, 
2022/2/15, 62, 11, 23, 8, 
2022/2/16, 22, 7, 28, 4, 
2022/2/17, 15, 12, 30, 10, 
2022/2/18, 28, 9, 30, 4, 
2022/2/19, 15, 6, 27, 3, 
2022/2/20, 12, 6, 29, 6, 
2022/2/21, 11, 11, 26, 6, 
2022/2/22, 29, 11, 28, 10, 
2022/2/23, 25, 14, 28, 14, 
2022/2/24, 32, 9, 24, 9, 
2022/2/25, 22, 15, 25, 7, 
2022/2/26, 42, 21, 27, 10, 
2022/2/27, 51, 25, 21, 14, 
2022/2/28, 58, 23, 21, 17, 
2022/3/1, 56, 39, 12, 26, 
2022/3/2, 88, 38, 17, 19, 
2022/3/3, 85, 27, 16, 15, 
2022/3/4, 65, 27, 19, 18, 
2022/3/5, 65, 25, 24, 10, 
2022/3/6, 62, 19, 23, 12, 
2022/3/7, 51, 24, 19, 22, 
2022/3/8, 57, 30, 19, 24, 
2022/3/9, 70, 28, 26, 15, 
2022/3/10, 63, 19, 30, 6, 
2022/3/11, 52, 16, 31, 5, 
2022/3/12, 41, 16, 36, 4, 
2022/3/13, 41, 18, 31, 11, 
2022/3/14, 47, 15, 17, 15, 
2022/3/15, 41, 21, 19, 14, 
2022/3/16, 54, 38, 26, 18, 
2022/3/17, 86, 34, 20, 14, 
2022/3/18, 73, 28, 38, 9, 
